sl_no,date,source_of_leads,department,alloted_person,contact_no,customer_name,customer_business_name,business_type,latitude,longitude,city,work_requirement,year,month,phone_valid,is_duplicate_lead,stage_clean_norm,final_lead_stage,Revenue
1,2023-01-01,Google Ads,Commercial,Ajith P,9795651302,Vijay Hassan,Thomas Group,Builder,9.517335430615443,76.38225438807156,Alappuzha,False Ceiling,2023,1,True,False,Quotation Sent,Negotiation,0
2,2023-01-03,Instagram,Residential,Arun K,9215064244,Gopal Warrier,Anoop Constructions,Individual,10.500933282264933,76.19473855436291,Thrissur,Commercial Space,2023,1,True,False,Negotiation,Won,2260846
3,2023-01-05,Facebook,Commercial,Arun K,9378913998,Fathima George,Arun Homes,Architect Referral,8.905733016995445,76.64228909129969,Kollam,Bedroom Design,2023,1,True,False,Design Phase,Lost,0
4,2023-01-07,Google Ads,Commercial,Rahul S,9407725518,Sabu Krishnan,,Individual,11.899207826712903,75.39698586438848,Kannur,Pooja Room,2023,1,True,False,Negotiation,Follow-up,244456
5,2023-01-09,Google Ads,Residential,Anjali D,9220367491,Gopal Kumar,Thankam Builders,Individual,9.469971388890654,76.35796556518666,Alappuzha,Pooja Room,2023,1,True,False,Design Phase,Lost,0
6,2023-01-11,WhatsApp,Renovation,Sneha B,9146606102,Kavitha Namboothiri,,Corporate,11.006994330086131,76.11766389752668,Malappuram,Commercial Space,2023,1,True,True,Follow-up,Site Visit,0
7,2023-01-14,Facebook,Renovation,Sneha B,9906261573,Abdul Thomas,,Builder,8.487197374299418,76.92595553361063,Thiruvananthapuram,Bedroom Design,2023,1,True,False,Won,Quotation Sent,426460
8,2023-01-16,Referral,Modular Kitchen,Priya M,9257661143,Vijay Kurup,,Individual,9.508699696727103,76.30187173235898,Alappuzha,Pooja Room,2023,1,True,False,Follow-up,Site Visit,255385
9,2023-01-18,Facebook,Commercial,Arun K,9479610451,Smitha Joseph,,Corporate,8.928144640622573,76.6312708859244,Kollam,Pooja Room,2023,1,True,False,Won,Won,351129
10,2023-01-20,IndiaMART,Office Interiors,Rahul S,9201629945,Shyamala Krishnan,Vijay Homes,Small Business,11.828999682123541,75.39333098004772,Kannur,Pooja Room,2023,1,True,False,Follow-up,Won,1071480
11,2023-01-22,Facebook,Residential,Sneha B,9954478692,Divya Abraham,Lakshmi LLP,Corporate,10.551015125904165,76.22190605734588,Thrissur,Commercial Space,2023,1,True,True,Follow-up,Follow-up,0
12,2023-01-25,Instagram,Office Interiors,Rahul S,9608297419,Fathima Varma,Suresh Enterprises,Corporate,8.877331864595005,76.58478178931334,Kollam,Modular Wardrobe,2023,1,True,False,Negotiation,Design Phase,0
13,2023-01-27,JustDial,Residential,Meera T,9746856864,Mohammed Thomas,Sreelatha Developers,Corporate,8.891052836991953,76.61454559416693,Kollam,Traditional Living Room,2023,1,True,True,Won,Quotation Sent,315009
14,2023-01-29,WhatsApp,Office Interiors,Anjali D,9883171099,Anoop Warrier,Rajan Builders,Individual,8.566985954984558,76.9178189736569,Thiruvananthapuram,Commercial Space,2023,1,True,False,Won,Quotation Sent,0
15,2023-01-31,Google Ads,Residential,Arun K,9233784320,Sabu Kumar,,Individual,10.769897150473584,76.64754665281666,Palakkad,Bedroom Design,2023,1,False,True,Follow-up,Lost,0
16,2023-02-02,WhatsApp,Office Interiors,Priya M,9141130558,Santhosh Khan,Sabu Developers,Small Business,11.871033693393947,75.38492185758447,Kannur,False Ceiling,2023,2,True,False,Design Phase,Lost,0
17,2023-02-05,Instagram,Renovation,Ajith P,9160148245,Anoop Kurup,Rekha Associates,Architect Referral,9.882568241476068,76.29182147426909,Kochi,Modular Wardrobe,2023,2,True,False,Lost,Follow-up,0
18,2023-02-07,Referral,Residential,Sneha B,9244639045,Rajan Iyer,Sreelatha LLP,Architect Referral,8.851359872000485,76.58732246909013,Kollam,Modular Wardrobe,2023,2,True,False,Lost,Won,1033638
19,2023-02-09,Google Ads,Commercial,Meera T,9809704572,Divya Kurup,,Architect Referral,10.762559159113477,76.64533253606469,Palakkad,False Ceiling,2023,2,True,False,Negotiation,Won,1451823
20,2023-02-11,Google Ads,Renovation,Rahul S,9654848660,Sreelatha Varma,Vijay Homes,Small Business,9.883985224082108,76.24421615709917,Kochi,Modern Kitchen,2023,2,True,True,Negotiation,Design Phase,0
21,2023-02-13,Walk-in,Commercial,Divya N,9694698847,Mohammed Patel,Suma Enterprises,Architect Referral,11.887637532604824,75.34026316138619,Kannur,Bathroom Renovation,2023,2,True,False,Lost,Won,2111892
22,2023-02-16,Referral,Office Interiors,Suresh L,9419231566,Asif Sharma,Rekha Constructions,Architect Referral,11.251439835680163,75.80873872199959,Kozhikode,Traditional Living Room,2023,2,True,False,Lost,Won,1527310
23,2023-02-18,Instagram,Modular Kitchen,Arun K,9346261252,Thomas Thomas,Mohammed Interiors,Corporate,11.055814520272802,76.1120252694437,Malappuram,Traditional Living Room,2023,2,True,False,Won,Won,146748
24,2023-02-20,Walk-in,Commercial,Arun K,9658517051,Vijay Iyer,Babu LLP,Individual,10.754164718589633,76.64182321856845,Palakkad,Modern Kitchen,2023,2,True,False,Design Phase,Design Phase,0
25,2023-02-22,Walk-in,Residential,Meera T,9267414903,Divya Thomas,Nisha Homes,Individual,9.571193202943661,76.54732789243738,Kottayam,Bathroom Renovation,2023,2,True,False,Won,Follow-up,114733
26,2023-02-24,Google Ads,Residential,Rahul S,9564373549,Gopal Das,,Corporate,11.275182447485273,75.82009952893644,Kozhikode,Traditional Living Room,2023,2,True,False,Lost,Negotiation,136865
27,2023-02-27,Referral,Office Interiors,Vijay R,9816604081,Rajesh Joseph,Anjali Developers,Corporate,11.09753027236304,76.10571242105303,Malappuram,Bedroom Design,2023,2,True,False,Won,Quotation Sent,0
28,2023-03-01,Google Ads,Commercial,Arun K,9245051311,Rajan Panicker,Anoop Group,Corporate,8.479141677360222,76.90488133885393,Thiruvananthapuram,Office Cabin,2023,3,True,False,Won,Lost,0
29,2023-03-03,Walk-in,Commercial,Vijay R,9413650053,Meera Namboothiri,Suresh Builders,Individual,9.537138432085527,76.38442918815134,Alappuzha,Office Cabin,2023,3,True,False,Site Visit,Negotiation,0
30,2023-03-05,Website,Commercial,Divya N,9868734424,Nisha Menon,Suma Properties,Architect Referral,10.53528812013112,76.20206764404294,Thrissur,Traditional Living Room,2023,3,True,False,Won,Won,2302412
31,2023-03-07,IndiaMART,Modular Kitchen,Meera T,9735308087,Suresh Varma,,Corporate,9.597991956675562,76.50612406611738,Kottayam,Full Home Interior,2023,3,True,False,Won,Won,2468126
32,2023-03-10,Google Ads,Office Interiors,Rahul S,9963568237,Anjali Krishnan,Mohammed Group,Small Business,8.524127853520776,76.89284313272778,Thiruvananthapuram,Traditional Living Room,2023,3,True,False,Follow-up,Quotation Sent,145091
33,2023-03-12,Google Ads,Renovation,Rahul S,9693213114,Deepa Khan,Meera Group,Corporate,11.831439408590418,75.36901736541049,Kannur,False Ceiling,2023,3,True,False,Won,Site Visit,0
34,2023-03-14,Facebook,Commercial,Anjali D,9160993015,Rajan Nair,,Builder,8.483087685173617,76.8975013615641,Thiruvananthapuram,False Ceiling,2023,3,True,False,Won,Lost,0
